symbol,predicted_return
NACQ,0.08998292771105641
PCMC,0.08274736380024672
BQDG,0.0806475894294963
WXVO,0.07956415627707064
GEQM,0.07824211954641283
JVSS,0.07653384670824998
QXFG,0.06866121935545764
SFMJ,0.06810995676595778
HPZX,0.06114230589917495
WBLV,0.059221194698317464
GCHA,0.0561865654631932
OMJV,0.05515259089974087
XBOC,0.053233409725343704
VGTX,0.049991977510502564
SCIO,0.0490872355974423
GPMV,0.04269828582987474
DBHU,0.042540300753589624
PQCR,0.04243470509736165
HHAN,0.04229779318875035
KASK,0.04181102955010381
